idx,HIP,RA_deg,Dec_deg,x,y,z,Vmag,Hpmag
6260,26606,84.82630008,29.21521266,0.078704446,0.869236667,0.488091412,5.9812,5.9800
6261,89440,273.80404553,-20.38797398,0.062188220,-0.935289938,-0.348375310,5.9814,5.9600
6262,9042,29.13204529,70.20378936,0.295833245,0.164875456,0.940903170,5.9816,7.2400
6263,17057,54.85586079,-10.43727769,0.566110793,0.804176581,-0.181159037,5.9822,6.1900
6264,86352,264.68686681,-21.91265780,-0.085908912,-0.923767735,-0.373192751,5.9822,6.1900
6265,41894,128.13936855,53.11484788,-0.370677391,0.472074023,0.799840227,5.9823,6.2300
6266,31876,99.94881830,12.98276822,-0.168352029,0.959784547,0.224658001,5.9824,5.9900
6267,90052,275.64716049,12.02967984,0.096241112,-0.973293089,0.208418354,5.9824,5.9900
6268,3185,10.13670405,-23.80487606,0.900643920,0.161024450,-0.403623161,5.9828,6.1400
6269,91525,279.97006026,52.19607551,0.106124141,-0.603704454,0.790113029,5.9831,6.0000
6270,12318,39.65334951,3.44320479,0.768529547,0.636989199,0.060059095,5.9833,6.2100
6271,39920,122.29245427,-35.45501477,-0.435177354,0.688583264,-0.580063582,5.9833,6.2100
6272,42777,130.75063900,46.90084552,-0.446012358,0.517611149,0.730172360,5.9833,6.2100
6273,79414,243.10566555,67.14417591,-0.175697536,-0.346403652,0.921485152,5.9833,6.2100
6274,6283,20.14404995,-3.24698981,0.937322611,0.343828731,-0.056640334,5.9835,6.2600
6275,11651,37.56919923,33.83370725,0.658393342,0.506467523,0.556784389,5.9835,6.2600
6276,57322,176.30264943,-49.06984298,-0.653774954,0.042247372,-0.755508749,5.9835,6.2600
6277,115906,352.25276610,-9.26610405,0.977942659,-0.133044068,-0.161019973,5.9840,6.2000
6278,38037,116.93836607,-16.01448310,-0.435450507,0.856897251,-0.275880333,5.9843,6.3800
6279,62821,193.10245952,-53.82993061,-0.574819329,-0.133790660,-0.807268727,5.9857,6.2600
6280,108506,329.72910597,-4.37310895,0.861137344,-0.502621379,-0.076251066,5.9857,6.2400
6281,41574,127.15324720,24.14493405,-0.551111672,0.727294378,0.409046222,5.9859,6.0500
6282,116851,355.27909783,-24.16047637,0.909307280,-0.075092645,-0.409293740,5.9862,6.6100
6283,25187,80.82712628,-8.41559518,0.157697334,0.976582079,-0.146352291,5.9864,5.9900
6284,35712,110.51449432,0.17712070,-0.350442649,0.936579091,0.003091335,5.9864,5.9900
6285,44148,134.86200836,13.07439070,-0.687115725,0.690433432,0.226215950,5.9865,6.4900
6286,65682,202.00783714,-26.40223524,-0.830427495,-0.335646625,-0.444670123,5.9865,6.4900
6287,115121,349.76372957,-28.38784627,0.865746744,-0.156338284,-0.475437605,5.9865,6.4900
6288,116768,354.97933479,9.67729367,0.981987959,-0.086269716,0.168098732,5.9872,5.9900
6289,12862,41.33710923,4.71162925,0.748299232,0.658256143,0.082140793,5.9872,6.0400
6290,70385,216.00825422,27.41317717,-0.718096913,-0.521886023,0.460403957,5.9874,6.3900
6291,111539,338.95334889,-17.46042383,0.890286538,-0.342580941,-0.300046963,5.9874,6.3900
6292,72992,223.75064961,74.88121504,-0.188405671,-0.180363286,0.965387170,5.9877,6.8800
6293,9562,30.71556505,-23.88662846,0.786077774,0.467027706,-0.404928209,5.9879,6.3000
6294,56135,172.60343797,46.65753309,-0.680646323,0.088358993,0.727264238,5.9879,6.3000
6295,79350,242.91499774,33.34276422,-0.380366330,-0.743781009,0.549646492,5.9879,6.3000
6296,79581,243.55669522,5.90184622,-0.442951666,-0.890629511,0.102824589,5.9879,6.3000
6297,19700,63.30224388,-3.88489419,0.448251636,0.891336134,-0.067752253,5.9879,7.5100
6298,85617,262.43195364,-19.47302715,-0.124169935,-0.934585950,-0.333363060,5.9879,7.5100
6299,118249,359.76903966,-56.57563831,0.550831185,-0.002220423,-0.834613728,5.9879,7.5100
6300,87616,268.47822244,-34.75272128,-0.021819682,-0.821330082,-0.570035786,5.9882,6.0000
6301,8626,27.82051649,64.85495235,0.375797446,0.198307521,0.905235001,5.9883,6.5400
6302,39236,120.37620154,16.45530865,-0.484963493,0.827387460,0.283267368,5.9884,5.9900
6303,62058,190.78824797,-56.17622414,-0.546802149,-0.104191856,-0.830753553,5.9884,5.9900
6304,104281,316.89017847,15.65865716,0.702950795,-0.658035773,0.269905727,5.9885,6.2700
6305,71729,220.09114370,21.97586801,-0.709435718,-0.597212954,0.374216046,5.9886,6.1300
6306,852,2.61149376,28.65288127,0.876629422,0.039983729,0.479501990,5.9886,7.1100
6307,29771,94.03204520,-16.61800646,-0.067377555,0.955861002,-0.285989527,5.9887,5.9700
6308,56789,174.63963721,46.83420919,-0.681120007,0.063909419,0.729377215,5.9888,6.0900
6309,39014,119.75750813,-45.21584380,-0.349633887,0.611546397,-0.709765559,5.9891,5.9800
6310,51795,158.74041469,-23.17624756,-0.856737751,0.333332104,-0.393560841,5.9891,6.1000
6311,109509,332.75992368,-21.23279005,0.828741626,-0.426648387,-0.362158074,5.9891,6.1000
6312,75256,230.65524028,62.04707594,-0.297177997,-0.362502417,0.883333027,5.9898,5.9900
6313,82806,253.85286833,-63.26965901,-0.125089364,-0.432048044,-0.893133326,5.9898,5.9900
6314,115806,351.91827729,25.16728105,0.896081394,-0.127239642,0.425262518,5.9898,5.9900
6315,716,2.21723556,25.46298481,0.902187270,0.034930336,0.429927904,5.9901,6.2400
6316,5412,17.30078661,80.01157942,0.165601737,0.051581691,0.984842827,5.9901,6.2400
6317,14104,45.46793044,5.33615151,0.698269057,0.709768653,0.092998834,5.9901,6.2400
6318,28205,89.39591517,66.09609939,0.004272094,0.405181306,0.914226372,5.9901,6.2400
6319,29982,94.66814019,9.04718273,-0.080371820,0.984283247,0.157247767,5.9901,6.2400
6320,33139,103.50941011,-50.61159999,-0.148239710,0.617016384,-0.772862064,5.9901,6.2400
6321,59785,183.87687167,-41.91327830,-0.742453867,-0.050314339,-0.668005032,5.9901,6.2400
6322,61320,188.44755865,33.38466847,-0.825936051,-0.122664233,0.550257327,5.9901,6.2400
6323,96781,295.07799922,-54.41779042,0.246626769,-0.527018486,-0.813281472,5.9901,6.2400
6324,99445,302.76475697,21.13457857,0.504788449,-0.784337466,0.360559789,5.9901,6.2400
6325,760,2.33406551,79.71454544,0.178404300,0.007271702,0.983930398,5.9903,6.0100
6326,6981,22.47026425,18.35566895,0.877060882,0.362757347,0.314914776,5.9903,6.0100
6327,37394,115.14801726,-8.18542963,-0.420628920,0.895991092,-0.142377228,5.9903,6.0100
6328,66015,203.01169534,-18.72887979,-0.871687238,-0.370219288,-0.321090389,5.9903,6.0100
6329,39420,120.87335574,-42.94832709,-0.375603891,0.628251194,-0.681338502,5.9908,6.2800
6330,53272,163.42532245,-70.72033664,-0.316460010,0.094188554,-0.943918205,5.9908,5.9900
6331,62786,192.98720661,-39.68043070,-0.749931067,-0.172958863,-0.638504993,5.9908,5.9900
6332,85333,261.57920736,7.59565028,-0.145157082,-0.980539427,0.132181140,5.9922,6.0100
6333,50903,155.91927084,-41.95318883,-0.678968901,0.303443449,-0.668523227,5.9923,6.2400
6334,46093,140.99722637,-51.73708047,-0.481245101,0.389743173,-0.785177312,5.9923,6.0500
6335,29808,94.14828215,-39.26439442,-0.056006472,0.772205312,-0.632899859,5.9924,6.0000
6336,51194,156.85534777,-65.70466390,-0.378325595,0.161718138,-0.911436771,5.9924,6.0000
6337,51200,156.86683875,41.60103526,-0.687659807,0.293782288,0.663939724,5.9924,6.0000
6338,62983,193.57774768,-11.64857000,-0.952032293,-0.229929501,-0.201908241,5.9924,6.0000
6339,3559,11.36953277,-12.88080960,0.955705871,0.192175301,-0.222923621,5.9928,6.1500
6340,11108,35.74011711,-18.35498247,0.770379759,0.554392346,-0.314903404,5.9933,6.2200
6341,27795,88.23122108,68.47154145,0.011326731,0.366788468,0.930235414,5.9933,6.2200
6342,56775,174.60028412,-2.43590128,-0.994662836,0.094018344,-0.042501691,5.9933,6.2200
6343,58259,179.22181578,61.54921341,-0.476359797,0.006470258,0.879226637,5.9933,6.2200
6344,70336,215.85677550,-11.71404259,-0.793603894,-0.573561487,-0.203027286,5.9933,6.2200
6345,46737,142.88759457,-66.71902659,-0.315185832,0.238480467,-0.918577682,5.9935,6.2700
6346,49418,151.31366489,-36.38438146,-0.706243555,0.386438156,-0.593199455,5.9935,6.2700
6347,97491,297.22953644,-52.88810861,0.276077391,-0.536508029,-0.797458719,5.9935,6.2700
6348,98351,299.73511050,-30.53838367,0.427191457,-0.747881091,-0.508115473,5.9935,6.2700
6349,23582,76.05332155,73.76388719,0.067387967,0.271353938,0.960117650,5.9940,6.2100
6350,26779,85.33473195,53.48105779,0.048401134,0.593116909,0.803660166,5.9940,6.2100
6351,29798,94.09913376,17.18160731,-0.068292338,0.952929264,0.295401378,5.9943,6.3900
6352,34182,106.32654057,22.63745849,-0.259454123,0.885740630,0.384898811,5.9944,6.0000
6353,20493,65.88486187,20.98204451,0.381480340,0.852205834,0.358075364,5.9954,6.0000
6354,46840,143.17247611,1.86415137,-0.800019895,0.599090959,0.032529839,5.9957,6.1100
6355,84599,259.39939276,23.09062670,-0.169223794,-0.904186348,0.392186633,5.9957,6.2500
6356,4979,15.95428389,1.36684626,0.961207740,0.274792069,0.023853705,5.9959,6.0600
