_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
266.97317,2.70728,6629,A0 V,3.751,0.062,0.055,0.072,0.046,0.013,0.007,0.016,0.034,0.041,0.035,0.053,0.045
267.46450,-37.04330,6630,K1 III,3.494,2.179,1.885,2.011,1.626,0.502,0.610,0.938,1.233,1.475,1.616,1.807,2.010
265.48481,72.14885,6636,F5 IV-V,4.693,0.205,0.147,0.283,0.467,0.208,0.242,0.390,0.483,0.570,0.645,0.751,0.803
268.85495,26.04999,6685,F2 Ia,5.545,1.089,0.801,0.267,0.387,0.215,0.176,0.321,0.393,0.491,0.607,0.583,0.583
268.38221,56.87264,6688,K2 III,4.045,2.175,1.962,2.025,1.614,0.499,0.585,0.914,1.180,1.464,1.588,1.772,1.951
269.06325,37.25054,6695,K1 II,4.180,2.632,2.369,2.355,1.949,0.636,0.617,0.958,1.219,1.486,1.620,1.834,2.015
269.75663,-9.77363,6698,G9 III,3.553,1.689,1.507,1.558,1.340,0.457,0.457,0.745,0.951,1.163,1.251,1.403,1.571
269.44119,29.24788,6703,G9 III,3.944,1.410,1.246,1.325,1.209,0.431,0.445,0.724,0.952,1.165,1.256,1.383,1.509
269.15154,51.48890,6705,K5 III,2.662,3.275,2.838,2.885,2.255,0.639,0.778,1.218,1.675,2.057,2.221,2.506,2.725
269.62562,30.18927,6707,F2 II,4.519,0.548,0.447,0.288,0.395,0.190,0.206,0.368,0.504,0.632,0.681,0.750,0.826
270.12088,-3.69027,6710,F3 V,4.719,0.209,0.122,0.253,0.426,0.195,0.208,0.353,0.449,0.548,0.558,0.593,0.673
270.06583,4.36862,6712,B2 Ve,4.597,-1.224,-1.154,-0.672,-0.102,0.021,0.034,0.128,0.146,0.217,0.138,0.041,0.100
270.01423,16.75092,6713,K0 II-III,4.950,2.306,2.059,2.072,1.738,0.591,0.570,0.902,1.198,1.461,1.587,1.783,1.967
270.16132,2.93156,6714,B5 Ib,4.000,-0.861,-0.814,-0.564,-0.042,0.073,0.051,0.094,0.086,0.097,0.112,0.057,0.094
270.43833,1.30508,6723,A1 V,4.479,0.048,0.045,-0.015,0.014,0.022,0.048,0.070,0.080,0.078,0.091,0.115,0.146
271.65780,-50.09148,6743,B2 Ib,3.668,-1.283,-1.243,-0.757,-0.212,0.021,0.012,-0.017,-0.010,-0.023,-0.072,-0.211,-0.141
271.45203,-30.42409,6746,K0 III,3.228,1.150,3.566,1.599,1.346,0.500,0.488,0.818,0.998,1.215,1.311,1.473,1.627
271.36369,2.50010,6752,K0 V,4.266,0.988,0.897,1.142,1.069,0.349,0.478,0.753,1.001,1.216,1.301,1.428,1.593
271.82650,8.73387,6770,G8 III-IV,4.862,1.501,1.332,1.409,1.269,0.469,0.433,0.703,0.906,1.114,1.212,1.339,1.516
271.83743,9.56385,6771,A4 V,3.782,0.187,0.157,0.182,0.149,0.041,0.076,0.120,0.161,0.194,0.198,0.225,0.195
271.88563,28.76249,6779,B9.5 III,3.821,-0.010,0.011,-0.150,-0.046,0.009,-0.014,-0.006,0.009,0.021,0.029,0.042,0.040
272.18955,20.81456,6787,B2 V,4.353,-1.315,-1.194,-0.809,-0.246,-0.039,-0.061,-0.093,-0.103,-0.150,-0.228,-0.301,-0.384
263.05415,86.58646,6789,A1 V,4.393,0.089,0.074,0.036,0.011,0.008,0.025,0.016,0.066,0.082,0.078,0.077,0.005
273.44087,-21.05883,6812,B8 Ia,3.936,-0.487,-0.527,0.182,0.182,0.172,0.147,0.275,0.371,0.460,0.538,0.562,0.664
274.40681,-36.76169,6832,M3 II,3.450,3.534,2.846,2.805,2.236,0.780,0.652,1.247,2.043,2.614,2.868,3.266,3.601
275.24851,-29.82810,6859,K2 III,3.052,2.854,2.441,2.557,1.995,0.653,0.669,0.997,1.328,1.606,1.767,2.009,2.242
275.21693,3.37717,6866,G8 III,5.055,1.327,1.121,1.234,1.180,0.436,0.406,0.669,0.876,1.094,1.160,1.309,1.475
275.07464,21.96130,6868,M0 III,5.357,3.534,3.049,3.019,2.393,0.692,0.806,1.291,1.885,2.336,2.527,2.857,3.087
275.32750,-2.89883,6869,K0 III-IV,3.470,1.322,1.120,1.286,1.199,0.423,0.464,0.752,1.005,1.231,1.314,1.475,1.623
274.96545,36.06455,6872,K2 III,4.632,2.166,1.960,1.996,1.636,0.513,0.552,0.880,1.155,1.404,1.522,1.702,1.863
276.07600,-44.11025,6875,B3 Vn,5.270,-1.150,-1.060,-0.700,-0.240,-0.060,-0.060,-0.080,,,,,
276.04299,-34.38462,6879,A0 V,1.853,0.099,0.003,-0.190,-0.086,0.023,0.014,-0.017,0.000,0.023,0.034,0.053,0.063
275.91493,-8.93439,6884,K0 III,4.875,1.438,1.250,1.355,1.225,0.447,0.451,0.710,0.985,1.195,1.276,1.420,1.543
275.92454,21.76975,6895,K2 III,4.147,2.113,1.877,1.976,1.596,0.510,0.591,0.920,1.227,1.484,1.599,1.790,1.967
276.33767,-20.54168,6896,K2 II,5.139,1.973,1.812,1.836,1.643,0.649,0.676,1.086,1.437,1.839,2.037,2.300,2.633
276.74340,-45.96846,6897,B3 IV,3.536,-1.183,-1.087,-0.692,-0.246,-0.082,-0.032,-0.055,-0.113,-0.162,-0.205,-0.333,-0.374
277.20775,-49.07059,6905,G8/K0 III,4.363,1.666,1.364,1.558,1.258,0.400,0.488,0.804,1.038,1.316,1.411,1.565,1.812
276.99267,-25.42170,6913,K2 III,3.035,1.834,1.571,1.800,1.453,0.540,0.467,0.766,0.988,1.224,1.343,1.519,1.721
276.80212,0.19611,6918,G0 III + A6 V,5.331,0.597,0.558,0.572,0.529,0.246,0.287,0.473,0.646,0.833,0.914,1.069,1.191
275.18930,71.33782,6920,A0 p,4.237,-0.566,-0.535,-0.337,-0.113,-0.037,-0.019,-0.012,-0.084,-0.098,-0.119,-0.164,-0.252
275.97753,58.80073,6923,A1 V,5.012,0.109,0.096,0.119,0.091,0.042,0.045,0.077,0.033,0.105,0.121,0.141,-0.022
275.26409,72.73285,6927,F7 V,3.691,0.169,0.083,0.300,0.551,0.261,0.252,0.453,0.609,0.762,0.818,0.884,0.945
277.29939,-14.56581,6930,A3 V,4.709,0.264,0.204,0.057,0.044,0.035,0.054,0.086,0.133,0.136,0.153,0.173,0.192
277.93930,-45.91481,6934,B6 IV,5.020,-0.740,-0.640,-0.460,-0.170,-0.040,-0.010,-0.020,,,,,
278.00810,-45.75738,6938,B5 IV,5.180,-1.110,-0.860,-0.600,-0.200,-0.040,-0.030,-0.030,,,,,
276.49641,65.56348,6945,K2 III,5.113,2.155,1.814,1.932,1.596,0.530,0.562,0.920,1.232,1.497,1.640,1.827,2.040
277.97221,-19.12507,6947,F7 II,6.844,1.925,1.577,1.332,1.319,0.582,0.518,0.888,,,,,
278.80178,-8.24407,6973,K3 III,4.211,2.659,2.355,2.419,1.895,0.561,0.686,1.049,1.385,1.648,1.792,2.022,2.218
278.14384,57.04560,6978,F7 Ib,4.925,1.091,0.875,0.667,0.745,0.307,0.312,0.504,0.676,0.828,0.879,0.968,1.044
280.75890,-71.42811,6982,K2 III,4.272,2.032,1.732,1.938,1.557,0.535,0.521,0.850,1.161,1.434,1.543,1.733,1.957
279.23473,38.78369,7001,A0 V,0.039,0.052,0.035,0.043,0.013,0.001,0.001,-0.011,0.008,0.010,-0.004,0.011,0.000
280.56845,-9.05255,7020,F3 III-IV,4.801,0.427,0.348,0.329,0.428,0.172,0.193,0.308,0.444,0.525,0.540,0.605,0.646
281.08066,-35.64199,7029,B2.5 V,4.910,-1.240,-1.120,-0.720,-0.230,-0.050,-0.060,-0.040,,,,,
281.41411,-26.99078,7039,B8 Ib,3.150,-0.562,-0.556,-0.409,-0.145,-0.013,-0.022,-0.040,-0.095,-0.121,-0.115,-0.153,-0.212
281.19316,37.60512,7056,A4 m,4.405,0.348,0.294,0.252,0.235,0.071,0.105,0.178,0.197,0.247,0.251,0.309,0.276
281.41552,20.54631,7061,F6 V,4.302,0.246,0.152,0.316,0.518,0.237,0.221,0.384,0.505,0.615,0.655,0.679,0.830
281.79364,-4.74787,7063,G5 II,4.478,1.720,1.539,1.550,1.423,0.546,0.527,0.840,1.177,1.402,1.521,1.720,1.871
281.51867,26.66213,7064,K3 III,5.148,2.216,1.958,2.043,1.651,0.517,0.593,0.929,1.255,1.520,1.632,1.834,1.996
281.87062,-5.70515,7066,G0:Iae,5.489,2.564,2.222,2.041,1.738,0.694,0.660,1.068,1.460,1.644,1.815,2.026,2.218
281.75531,18.18152,7069,A3 V,4.371,0.156,0.131,0.206,0.183,0.043,0.049,0.091,0.110,0.143,0.134,0.150,0.145
283.05431,-62.18759,7074,B2 II-III,4.310,-1.410,-1.260,-0.850,-0.240,-0.030,-0.030,-0.050,,,,,
282.51998,33.36267,7106,B8 pe,3.399,-0.891,-0.865,-0.607,-0.078,0.036,0.050,0.131,0.120,0.162,0.171,0.149,0.228
283.81636,-26.29672,7121,B3 IV,2.001,-1.191,-1.124,-0.711,-0.246,-0.037,-0.074,-0.145,-0.229,-0.273,-0.325,-0.422,-0.509
282.80040,59.38835,7125,K0 II-III,4.972,2.077,1.764,1.859,1.607,0.553,0.571,0.939,1.212,1.474,1.563,1.764,2.011
284.16874,-37.34324,7129,B8 IV Si,5.390,-1.190,-1.050,-0.690,-0.230,-0.080,-0.010,-0.030,,,,,
283.68697,22.64503,7133,G4 III + A6 V,4.796,1.084,0.980,1.030,0.954,0.392,0.401,0.675,0.877,1.065,1.157,1.307,1.434
283.30642,50.70822,7137,G8 III,5.133,1.259,1.087,1.185,1.147,0.426,0.419,0.703,0.922,1.130,1.219,1.357,1.460
283.62618,36.89861,7139,M4 II,4.561,3.301,2.715,2.580,2.134,0.912,0.613,1.305,2.430,3.202,3.506,4.042,4.404
284.05492,4.20359,7141,A5 V,4.673,0.205,0.176,0.182,0.179,0.056,0.095,0.148,0.213,0.244,0.238,0.264,0.294
284.43250,-21.10666,7150,K1 III,3.776,2.151,1.880,1.957,1.650,0.558,0.564,0.883,1.165,1.407,1.528,1.721,1.910
283.83376,43.94609,7157,M5 III,4.391,3.662,2.822,2.482,1.886,1.045,0.482,1.362,2.753,3.596,3.940,4.615,4.975
284.90566,15.06830,7176,K2 III,4.313,1.934,1.725,1.776,1.460,0.473,0.512,0.834,1.052,1.260,1.379,1.545,1.723
284.73593,32.68956,7178,B9 III,3.242,0.018,-0.040,-0.272,-0.078,0.006,0.006,0.037,-0.013,-0.018,0.012,0.007,0.018
283.59940,71.29719,7180,K2 III,5.102,2.078,1.836,1.910,1.580,0.524,0.542,0.879,1.128,1.379,1.497,1.657,1.850
285.42011,-5.73911,7193,K1 III,4.295,1.894,1.674,1.772,1.477,0.498,0.526,0.854,1.067,1.309,1.423,1.587,1.801
285.65304,-29.88006,7194,A2 IV,2.612,0.210,0.132,0.155,0.094,0.045,0.061,0.045,0.056,0.064,0.058,0.092,0.194
286.17076,-21.74150,7217,gG8,4.016,1.645,1.416,1.522,1.329,0.440,0.518,0.808,1.074,1.284,1.377,1.524,1.733
286.73504,-27.67042,7234,K1 III,3.607,2.195,1.881,2.079,1.584,0.532,0.584,0.905,1.163,1.417,1.549,1.755,1.974
286.35253,13.86348,7235,A0 Vn,2.981,0.016,0.037,0.006,0.007,0.008,-0.007,0.008,0.022,0.028,0.020,0.037,0.026
286.56225,-4.88256,7236,B9 Vn,3.419,-0.448,-0.397,-0.294,-0.124,-0.025,-0.041,-0.047,-0.085,-0.092,-0.117,-0.162,-0.198
287.36809,-37.90447,7254,A2 V,4.119,0.172,0.091,0.154,0.029,0.041,0.030,0.021,-0.004,0.016,0.019,0.020,0.060
287.49022,-41.89226,7257,B5 V,5.930,-0.780,-0.690,-0.470,-0.140,-0.010,0.000,0.000,,,,,
287.50732,-39.34080,7259,gG3,4.368,2.175,1.848,1.974,1.631,0.614,0.522,0.835,1.110,1.375,1.480,1.654,1.868
287.44097,-21.02361,7264,F2 II-III,2.973,0.761,0.592,0.371,0.413,0.238,0.219,0.306,0.441,0.538,0.591,0.669,0.744
288.43953,39.14597,7298,B2 IV,4.386,-1.076,-0.990,-0.720,-0.226,-0.041,-0.034,-0.070,-0.098,-0.134,-0.179,-0.285,-0.322
289.05433,21.39043,7306,B3 IV,4.747,-0.865,-0.799,-0.531,-0.134,-0.001,-0.010,-0.012,-0.014,0.003,-0.029,-0.134,-0.139
288.13876,67.66154,7310,G9 III,3.329,1.584,1.361,1.448,1.293,0.452,0.480,0.760,0.987,1.232,1.321,1.466,1.617
289.09206,38.13373,7314,K0 II,4.629,2.308,2.082,2.098,1.767,0.606,0.570,0.903,1.191,1.468,1.586,1.790,1.963
289.91664,-35.42145,7316,B4 IV,5.640,-0.950,-0.860,-0.590,-0.190,-0.030,-0.030,-0.040,,,,,
289.27570,53.36846,7328,K0 III,3.994,1.485,1.305,1.379,1.246,0.446,0.438,0.725,0.951,1.158,1.246,1.376,1.542
290.41816,-17.84720,7340,F0 IV,3.972,0.313,0.260,0.234,0.265,0.093,0.127,0.180,0.273,0.339,0.376,0.397,0.452
290.43176,-15.95502,7342,A  pe,4.664,-0.650,-0.830,-0.582,-0.022,0.019,0.207,0.318,0.437,0.487,0.564,0.512,0.587
288.88774,73.35547,7352,K3 III,4.780,2.541,2.296,2.314,1.813,0.522,0.629,0.967,1.242,1.520,1.650,1.839,1.978
291.12575,-27.86594,7355,B5 IV,6.010,-1.120,-1.020,-0.660,-0.170,-0.020,-0.010,-0.010,,,,,
290.71202,26.26241,7358,B6 III,5.168,-0.890,-0.818,-0.513,-0.190,-0.048,-0.041,-0.072,-0.109,-0.134,-0.183,-0.214,-0.237
290.16706,65.71453,7371,A2 IV,4.614,0.140,0.111,0.080,0.034,0.000,0.027,0.033,-0.019,0.031,0.041,0.069,0.054
291.03158,29.62134,7372,B3 IV,4.980,-1.149,-1.057,-0.673,-0.192,-0.030,-0.028,-0.054,-0.041,-0.061,-0.088,-0.205,-0.128
291.37459,3.11478,7377,F0 IV,3.430,0.223,0.160,0.224,0.346,0.158,0.158,0.263,0.362,0.447,0.475,0.499,0.565
291.62954,0.33857,7387,F2 Ib,4.821,1.476,1.227,0.624,0.604,0.317,0.339,0.514,0.788,0.960,1.099,1.275,1.386
292.17637,24.66490,7405,M1 III,4.863,3.319,2.817,2.798,2.198,0.632,0.749,1.216,1.790,2.226,2.398,2.716,2.981
292.68034,27.95968,7417,K3:II,3.399,1.273,1.244,1.405,1.376,0.514,0.612,0.949,1.262,1.552,1.675,1.905,2.110
292.42649,51.72978,7420,A5 V,3.827,0.280,0.240,0.162,0.163,0.078,0.064,0.141,0.167,0.217,0.210,0.280,0.295
292.94301,34.45297,7426,B3 IV,4.740,-1.052,-0.951,-0.666,-0.226,-0.044,-0.051,-0.052,-0.126,-0.154,-0.182,-0.302,-0.219
293.52231,7.37894,7429,K3 III,4.779,2.173,1.949,2.034,1.602,0.470,0.614,0.957,1.198,1.443,1.566,1.733,1.970
293.64540,19.77340,7437,B7 V,5.017,-0.686,-0.640,-0.483,-0.171,-0.032,0.004,0.003,-0.067,-0.079,-0.066,-0.125,-0.131
294.22271,-7.02748,7446,B0.5 III,4.988,-1.295,-1.206,-0.753,-0.102,0.063,0.055,0.079,0.102,0.111,0.087,-0.006,-0.004
294.18032,-1.28660,7447,B5 III,4.359,-0.731,-0.669,-0.472,-0.146,-0.017,0.004,0.004,-0.034,-0.041,-0.048,-0.107,-0.122
293.08996,69.66118,7462,K0 V,4.896,0.784,0.686,0.981,0.965,0.326,0.412,0.682,0.916,1.105,1.181,1.265,1.393
294.11056,50.22110,7469,F4 V,4.588,0.144,0.091,0.240,0.444,0.204,0.199,0.346,0.457,0.557,0.601,0.631,0.715
294.84419,30.15332,7478,G8 III-IV,4.930,1.522,1.367,1.442,1.273,0.434,0.465,0.756,0.956,1.193,1.302,1.454,1.611
295.02413,18.01389,7479,G0 II,4.580,1.037,0.828,0.890,0.968,0.374,0.362,0.623,0.793,0.985,1.053,1.155,1.283
295.26225,17.47604,7488,G8 II,4.641,1.750,1.569,1.582,1.405,0.498,0.475,0.778,0.991,1.215,1.314,1.469,1.633
295.45397,50.52506,7503,G2 V,6.145,0.516,0.423,0.639,0.754,0.308,0.337,0.567,0.719,0.889,0.944,1.010,1.120
295.46655,50.51752,7504,G5 V,6.396,0.539,0.437,0.682,0.768,0.306,0.341,0.559,0.736,0.905,0.948,1.034,1.144
296.56492,10.61326,7525,K3 II,3.126,3.081,2.716,2.755,2.208,0.687,0.739,1.139,1.508,1.835,2.000,2.257,2.487
297.59065,-61.06112,7527,B5 V,6.290,-0.980,-0.870,-0.600,-0.220,-0.060,-0.030,-0.030,,,,,
296.24366,45.13081,7528,B9.5 III,2.893,-0.114,-0.078,-0.140,-0.071,0.006,-0.005,0.007,0.006,0.004,0.002,0.006,-0.009
296.84693,18.53429,7536,M2 II + B6,4.211,2.068,1.940,1.955,1.739,0.729,0.659,1.214,2.040,2.618,2.855,3.237,3.522
297.24442,19.14204,7546,A3 V,5.069,0.167,0.152,0.110,0.096,0.047,0.064,0.095,0.146,0.179,0.201,0.227,0.236
297.69583,8.86832,7557,A7 IV-V,0.799,0.235,0.183,0.202,0.255,0.098,0.120,0.182,0.236,0.304,0.328,0.339,0.364
297.64135,32.91406,7564,M6 pe,8.708,4.300,2.380,1.132,1.294,1.828,0.601,2.428,4.684,6.235,6.810,8.200,8.645
297.76712,22.61005,7565,B3 V,4.960,-1.110,-1.003,-0.662,-0.242,-0.054,-0.043,-0.075,-0.062,-0.007,-0.084,-0.202,-0.291
298.11820,1.00566,7570,G2 Ib,4.056,1.432,1.190,1.055,1.094,0.446,0.474,0.736,0.905,1.098,1.177,1.349,1.530
298.09068,18.67188,7574,O7.5 Iaf,6.281,-1.340,-1.253,-0.755,-0.073,0.078,0.056,0.111,0.157,0.182,0.203,0.118,0.029
298.81540,-41.86829,7581,K0 III,4.396,1.862,1.496,1.680,1.392,0.537,0.544,0.821,1.151,1.348,1.381,1.624,1.950
297.04313,70.26793,7582,G8 III,4.078,1.178,0.982,1.115,1.096,0.432,0.419,0.714,0.888,1.112,1.204,1.332,1.505
297.99612,47.02734,7589,O9.5 Iab,5.653,-1.454,-1.347,-0.837,-0.170,0.026,-0.003,0.019,-0.010,-0.016,-0.046,-0.149,-0.222
300.14815,-72.91051,7590,A0 V,3.950,-0.027,-0.028,-0.061,-0.010,0.008,0.009,0.022,0.002,0.000,-0.005,-0.033,0.011
298.36540,24.07961,7592,B9.5 III,4.544,-0.200,-0.203,-0.208,-0.062,-0.013,0.023,-0.006,0.079,0.096,0.106,0.120,0.128
298.56201,8.46145,7595,K0 III,4.975,1.740,1.518,1.605,1.368,0.469,0.506,0.820,1.046,1.264,1.377,1.541,1.740
298.95984,-26.29953,7597,dG5,4.878,0.873,0.664,0.883,0.921,0.400,0.385,0.598,0.747,0.950,1.026,1.132,1.183
298.82830,6.40676,7602,G8 IV,3.955,0.997,0.853,1.069,1.025,0.366,0.436,0.725,0.892,1.099,1.188,1.326,1.479
298.96568,38.48671,7613,B6 III,4.950,-0.831,-0.759,-0.556,-0.161,-0.016,-0.017,-0.018,-0.042,-0.040,-0.065,-0.131,-0.145
299.07655,35.08342,7615,K0 III,4.157,1.661,1.474,1.561,1.340,0.459,0.495,0.797,1.025,1.261,1.339,1.506,1.680
298.90744,52.43895,7619,A3 IV,5.000,0.238,0.206,0.167,0.158,0.073,0.097,0.163,0.208,0.201,0.176,0.146,0.118
299.68929,19.49215,7635,K5+III,3.981,3.389,2.960,2.968,2.336,0.655,0.826,1.277,1.753,2.156,2.320,2.627,2.884
300.66450,-27.70985,7650,M4 III,4.911,3.689,3.038,2.910,2.221,0.889,0.621,1.285,2.273,2.948,3.222,3.668,4.051
300.88941,-37.94070,7652,gK5,5.173,2.993,2.543,2.694,1.991,0.606,0.742,1.109,1.483,1.778,1.904,2.150,2.432
300.27520,27.75357,7653,A4 III,4.739,0.391,0.307,0.223,0.202,0.071,0.112,0.182,0.209,0.254,0.281,0.318,0.351
302.18171,-66.18207,7665,G8 V,3.751,0.917,0.766,0.987,0.949,0.362,0.408,0.598,0.765,0.921,0.994,1.088,1.252
301.84648,-52.88079,7673,M2 III,5.361,3.351,3.009,3.026,2.306,0.734,0.782,1.225,1.808,2.258,2.412,2.729,3.045
301.15073,32.21860,7678,B1.5 Ia,5.729,-0.329,-0.361,-0.034,0.487,0.357,0.293,0.509,0.707,0.866,0.967,1.092,1.247
300.70447,67.87356,7685,K3 III,4.865,2.681,2.388,2.412,1.907,0.570,0.650,1.003,1.292,1.573,1.733,1.953,2.120
302.35675,36.83962,7708,B3 V,5.001,-1.260,-1.168,-0.798,-0.270,-0.079,-0.016,-0.034,-0.036,-0.035,-0.099,-0.206,-0.232
302.82611,-0.82147,7710,B9.5 III,3.183,-0.201,-0.224,-0.207,-0.098,-0.010,-0.019,-0.034,-0.044,-0.047,-0.057,-0.023,-0.082
303.56925,15.19761,7724,A2 V,4.982,0.107,0.079,0.135,0.094,0.029,0.033,0.054,0.058,0.074,0.076,0.109,0.071
303.32522,46.81568,7730,A3 III,4.888,0.433,0.360,0.083,0.092,0.048,0.080,0.121,0.115,0.184,0.206,0.261,0.285
303.40794,46.74133,7735,K2 II + B3 V,4.154,1.083,1.109,1.376,1.503,0.607,0.683,1.075,1.419,1.748,1.930,2.199,2.423
303.63347,36.80630,7736,A2 III,5.010,0.132,0.105,0.129,0.154,0.084,0.085,0.173,0.209,0.274,0.272,0.292,0.338
303.81623,25.59196,7739,B3 V,4.794,-1.202,-1.093,-0.727,-0.223,-0.037,-0.063,-0.084,-0.216,-0.213,-0.255,-0.380,-0.348
303.34944,56.56772,7740,A3 IV-V,4.356,0.233,0.185,0.125,0.126,0.061,0.077,0.133,0.165,0.237,0.239,0.273,0.276
303.94223,27.81424,7744,K3 III,4.865,2.085,1.889,1.974,1.716,0.546,0.670,1.050,1.403,1.654,1.805,2.040,2.242
304.41196,-12.50821,7747,G3 Ib,4.499,1.699,1.459,1.460,1.368,0.518,0.511,0.815,1.022,1.279,1.339,1.527,1.722
302.22228,77.71142,7750,B9 III,4.387,-0.151,-0.144,-0.192,-0.068,0.002,-0.010,-0.010,-0.042,-0.030,-0.047,-0.055,-0.043
303.86801,47.71421,7751,K3 Ib-II + B,4.446,2.030,1.922,2.075,1.970,0.715,0.796,1.270,1.720,2.131,2.310,2.626,2.870
304.51357,-12.54485,7754,G9 III,3.822,1.379,1.220,1.302,1.197,0.426,0.458,0.743,0.955,1.164,1.251,1.394,1.540
304.44668,38.03293,7763,B1 pe,4.956,-0.617,-0.630,-0.236,0.345,0.283,0.297,0.530,0.566,0.684,0.743,0.859,1.107
304.52912,40.73208,7767,O9 V:((n)),5.899,-1.088,-1.037,-0.582,0.016,0.108,0.096,0.173,0.216,0.269,0.257,0.195,0.209
305.16590,-12.75908,7773,B9 V,4.764,-0.174,-0.162,-0.144,-0.080,-0.020,0.004,-0.007,-0.013,-0.021,-0.030,-0.051,-0.038
305.25281,-14.78138,7776,F8 V,3.294,0.735,0.701,0.823,0.895,0.374,0.422,0.681,0.905,1.105,1.198,1.354,1.561
306.41190,-56.73509,7790,B2.5 V,1.926,-1.170,-1.095,-0.726,-0.256,-0.010,-0.032,-0.093,-0.183,-0.224,-0.277,-0.379,-0.362
305.55709,40.25668,7796,F8 Ib,2.392,1.295,1.027,0.781,0.842,0.334,0.339,0.529,0.654,0.818,0.885,1.000,1.097
305.96509,32.19017,7806,K3 III,4.787,2.682,2.365,2.451,1.932,0.588,0.687,1.071,1.420,1.715,1.845,2.102,2.286
307.21506,-17.81369,7822,F2 IV,4.844,0.247,0.187,0.273,0.424,0.201,0.193,0.328,0.442,0.526,0.591,0.606,0.696
307.34890,30.36855,7834,F5 II,4.098,0.816,0.646,0.412,0.484,0.205,0.205,0.353,0.476,0.595,0.642,0.725,0.786
307.51475,48.95157,7844,B2 V,4.931,-1.017,-0.936,-0.658,-0.151,-0.013,-0.006,-0.007,-0.044,-0.055,-0.041,-0.138,-0.183
307.74679,36.93584,7847,F5 Iab,6.477,1.861,1.577,1.157,1.073,0.517,0.570,0.903,1.193,1.467,1.647,1.937,2.132
307.39535,62.99411,7850,A7 III,4.249,0.365,0.302,0.260,0.252,0.091,0.080,0.146,0.197,0.231,0.250,0.258,0.287
308.30322,11.30326,7852,B6 III,4.017,-0.834,-0.747,-0.538,-0.192,-0.045,-0.039,-0.054,-0.086,-0.118,-0.143,-0.209,-0.235
308.47578,35.25085,7866,K2 Ib + B,5.059,1.621,1.646,1.903,1.965,0.797,0.810,1.291,1.830,2.230,2.440,2.777,3.039
309.39180,-47.29150,7869,K0 III,3.345,1.616,1.369,1.505,1.317,0.500,0.476,0.738,0.972,1.192,1.300,1.468,1.678
309.38726,14.59509,7882,F5 IV,3.729,0.398,0.308,0.374,0.536,0.229,0.225,0.366,,,,,
309.58451,-1.10512,7884,G8 III,4.523,1.439,1.260,1.337,1.232,0.442,0.419,0.682,1.000,1.193,1.285,1.415,1.593
309.63058,21.20118,7891,B9.5 V,4.802,-0.185,-0.152,-0.122,-0.055,-0.017,-0.005,-0.028,-0.011,-0.023,-0.025,-0.040,-0.039
309.90953,15.91207,7906,B9 V,3.764,-0.341,-0.297,-0.266,-0.095,-0.026,-0.015,-0.028,-0.024,-0.035,-0.041,-0.059,-0.064
311.23956,-66.20321,7913,A7 III,3.461,0.437,0.312,0.244,0.206,0.134,0.117,0.112,0.183,0.231,0.263,0.313,0.462
310.35798,45.28034,7924,A2 Ia,1.309,-0.015,-0.136,-0.379,0.035,0.102,0.063,0.118,0.185,0.218,0.317,0.284,0.289
310.86472,15.07458,7928,F0 IVp,4.464,0.292,0.229,0.225,0.300,0.127,0.170,0.264,0.448,0.520,0.561,0.570,0.635
311.52389,-25.27090,7936,F5 V,4.234,0.223,0.107,0.291,0.459,0.212,0.243,0.356,0.500,0.633,0.629,0.689,0.942
311.21877,25.27062,7939,K2 III,5.203,2.187,1.917,1.993,1.613,0.524,0.570,0.900,1.186,1.446,1.564,1.766,1.957
311.41564,30.71972,7942,K0 III,4.448,1.739,1.529,1.622,1.410,0.473,0.483,0.785,1.054,1.277,1.382,1.558,1.705
311.66188,16.12414,7947,F8 IV-V/K2IV,4.079,1.042,0.915,1.041,1.023,0.366,0.441,0.702,0.822,1.025,1.203,1.368,1.506
311.55284,33.97026,7949,K0 III,2.703,1.643,1.435,1.527,1.342,0.465,0.481,0.782,1.034,1.265,1.352,1.549,1.719
311.91897,-9.49577,7950,A1 V,3.791,0.096,0.093,-0.026,-0.016,-0.004,0.014,0.024,0.044,0.054,0.057,0.072,0.033
311.93433,-5.02770,7951,M3 III,4.867,3.734,3.150,3.026,2.405,0.815,0.699,1.293,2.159,2.729,2.981,3.358,3.693
312.37067,-46.22683,7952,K5 III,5.162,2.373,1.922,2.021,1.588,0.575,0.554,0.898,1.372,1.734,1.884,2.174,2.478
311.33804,57.57972,7955,F8 IV-V,4.628,0.427,0.334,0.487,0.641,0.267,0.272,0.441,0.624,0.778,0.847,0.860,0.980
311.32240,61.83878,7957,K0 IV,3.643,1.263,1.078,1.259,1.161,0.416,0.448,0.718,1.022,1.227,1.341,1.439,1.640
311.85224,36.49071,7963,B5 V,4.477,-0.827,-0.752,-0.543,-0.161,-0.032,-0.030,-0.057,-0.080,-0.100,-0.136,-0.193,-0.200
312.23455,46.11413,7977,B3 Ia,4.933,-0.399,-0.417,-0.191,0.339,0.269,0.227,0.387,0.540,0.678,0.748,0.817,0.918
312.95538,-26.91913,7980,K5 III,4.594,2.990,2.493,2.539,2.393,0.764,0.840,1.273,1.774,2.208,2.385,2.700,2.977
