_RA,_DE,HR,SpT,52,33-52,35-52,37-52,40-52,45-52,52-58,52-63,52-72,52-80,52-86,52-99,52-110
188.59681,-23.39676,4786,G5 III,2.862,1.294,1.074,1.185,1.149,0.419,0.424,0.668,0.917,1.107,1.180,1.307,1.470
188.37060,69.78824,4787,B7 p,3.850,-0.964,-0.919,-0.605,-0.182,-0.029,-0.035,-0.001,-0.072,-0.047,-0.094,-0.203,-0.232
188.71284,22.62926,4789,A0 III,4.791,0.001,0.009,-0.021,-0.019,0.005,0.014,0.002,0.017,0.026,0.045,0.045,0.085
189.29591,-69.13556,4798,B2 IV-V,2.654,-1.394,-1.292,-0.844,-0.308,-0.080,-0.104,-0.174,-0.169,-0.242,-0.309,-0.443,-0.465
189.42568,-48.54130,4802,A2 V,3.919,0.092,0.076,0.025,0.020,0.010,0.041,0.073,0.079,0.102,0.099,0.101,0.165
189.81153,-7.99556,4813,K2 III,4.956,2.458,2.236,2.237,1.765,0.535,0.597,0.919,1.196,1.452,1.574,1.766,1.976
190.37933,-48.95987,4819,A0 III,2.220,0.075,0.061,-0.053,-0.031,-0.020,0.012,0.008,0.043,0.034,0.035,0.039,0.076
190.48570,-59.68582,4823,B7 IV,4.950,-0.630,-0.550,-0.460,-0.140,0.010,-0.010,-0.010,,,,,
190.41660,-1.44951,4825,F0 V,2.865,0.109,0.080,0.203,0.408,0.177,0.182,0.303,,,,,
190.47107,10.23563,4828,A1 V,4.898,0.082,0.087,0.141,0.100,0.035,0.028,0.043,0.066,0.096,0.089,0.119,0.167
191.57002,-68.10812,4844,B2 V,3.030,-1.220,-1.167,-0.742,-0.270,-0.070,-0.097,-0.158,-0.128,-0.178,-0.228,-0.370,-0.407
191.24752,39.27892,4845,G0 V,6.081,0.206,0.114,0.383,0.613,0.247,0.270,0.456,0.769,0.933,0.987,1.078,1.107
191.28262,45.44026,4846,"C5,4",5.877,12.000,11.500,10.160,6.938,2.132,1.121,1.843,2.414,2.917,3.556,3.914,4.345
191.59464,-56.48882,4848,B3 V,4.620,-1.060,-1.040,-0.670,-0.240,-0.070,-0.090,-0.200,,,,,
191.93029,-59.68877,4853,B0.5 III,1.232,-1.634,-1.487,-0.998,-0.356,-0.080,-0.110,-0.126,-0.190,-0.258,-0.322,-0.488,-0.517
192.92468,27.54072,4883,G0 III,5.093,0.646,0.501,0.621,0.798,0.371,0.335,0.543,0.726,0.909,0.971,1.058,1.179
193.66326,-59.14670,4897,B4 Vn,4.600,-1.010,-0.960,-0.620,-0.230,-0.050,-0.080,-0.160,,,,,
193.64844,-57.17792,4898,B2 IV-V,4.020,-1.290,-1.180,-0.770,-0.280,-0.070,-0.090,-0.160,,,,,
193.65369,-57.16867,4899,B5 Ve,5.090,-0.990,-0.970,-0.560,-0.170,-0.010,-0.030,0.020,,,,,
193.58818,-9.53899,4902,M3 III,5.127,3.009,2.656,2.650,2.249,0.784,0.702,1.274,2.119,2.690,2.916,3.281,3.609
193.50729,55.95982,4905,A0 p,1.792,0.061,0.040,-0.074,-0.044,-0.026,0.017,0.014,0.018,0.023,0.018,0.006,-0.014
193.90087,3.39747,4910,M3 III,3.742,3.546,2.937,2.834,2.253,0.762,0.645,1.219,2.100,2.705,2.935,3.316,3.609
194.00180,38.31483,4914,F0 V,5.680,0.072,0.027,0.189,0.335,0.150,0.154,0.272,0.400,0.386,0.540,0.574,0.551
194.00694,38.31838,4915,"B9.5p Si,Eu,Hg",2.948,-0.572,-0.545,-0.386,-0.149,-0.077,0.015,-0.015,-0.070,-0.124,-0.107,-0.171,-0.220
194.73101,17.40944,4920,M1 III,5.193,3.460,2.968,2.992,2.335,0.657,0.787,1.254,1.814,2.252,2.432,2.730,2.995
195.56777,-71.54885,4923,K2 III,3.953,2.275,1.947,2.014,1.626,0.497,0.595,0.902,1.279,1.537,1.636,1.808,2.021
195.18208,56.36634,4931,F2 V,5.008,0.219,0.159,0.284,0.423,0.195,0.188,0.308,0.437,0.548,0.573,0.602,0.641
195.54416,10.95915,4932,G8 III,3.080,1.427,1.255,1.331,1.209,0.434,0.440,0.706,0.937,1.148,1.232,1.354,1.511
195.88877,-49.52726,4933,A0 V,4.860,-0.020,-0.080,0.040,0.050,0.020,0.020,0.020,,,,,
196.56960,-48.46329,4940,B5 V,4.670,-1.000,-0.920,-0.590,-0.230,-0.050,-0.060,-0.120,,,,,
